Pitcairn,
Tokelau,
Samoa,
Guernsey,
Vatican,
Saint Helena,
Northern Cyprus,
Micronesia (country),
Jersey,
Marshall Islands,
Tuvalu,
Tonga,
Cook Islands,
Turkmenistan,
Macao,
Niue,
Nauru,
Sint Maarten (Dutch part),
Falkland Islands,
United States,925435
Brazil,640076
India,509872
Russia,334785
Mexico,312965
Peru,208622
United Kingdom,159978
Italy,151684
Indonesia,145176
Colombia,137439
France,135258
Iran,134053
Argentina,124585
Germany,120277
Ukraine,110105
Poland,108515
South Africa,97431
Spain,96906
Turkey,91117
Romania,61880
Philippines,55146
Hungary,42754
Chile,40698
Vietnam,39122
Czechia,37991
Canada,35674
Ecuador,35038
Bulgaria,34686
Malaysia,32180
Pakistan,29877
Belgium,29778
Bangladesh,28872
Tunisia,27145
Greece,24917
Iraq,24764
Egypt,23465
Thailand,22516
Netherlands,21498
Bolivia,21331
Japan,20756
Portugal,20620
Myanmar,19314
Kazakhstan,18796
Slovakia,18123
Paraguay,18027
Guatemala,16661
Sweden,16579
Sri Lanka,15874
Morocco,15820
Georgia,15628
Bosnia and Herzegovina,15127
Croatia,14584
Serbia,14553
Austria,14427
Jordan,13554
Switzerland,12975
Nepal,11902
Moldova,10982
Honduras,10512
Lebanon,9872
Israel,9651
Azerbaijan,9105
Saudi Arabia,8975
North Macedonia,8793
Cuba,8476
Armenia,8201
Lithuania,8172
Panama,7970
Costa Rica,7829
Afghanistan,7504
Ethiopia,7428
South Korea,7202
Uruguay,6794
Algeria,6753
Ireland,6390
Belarus,6278
Libya,6143
Slovenia,6122
Kenya,5632
Venezuela,5556
Zimbabwe,5374
Palestine,5296
Latvia,5041
Australia,4726
China,4639
Dominican Republic,4349
Oman,4216
Denmark,4139
El Salvador,4011
Namibia,3995
Zambia,3939
Sudan,3831
Uganda,3580
Trinidad and Tobago,3535
Albania,3420
Nigeria,3141
Kosovo,3078
Syria,3035
Cambodia,3015
Kyrgyzstan,2932
Jamaica,2750
Montenegro,2641
Botswana,2603
Malawi,2599
Kuwait,2522
United Arab Emirates,2288
Finland,2215
Mozambique,2189
Mongolia,2149
Estonia,2122
Yemen,2107
Senegal,1957
Cameroon,1915
Angola,1899
Uzbekistan,1607
Norway,1513
Rwanda,1452
Ghana,1429
Bahrain,1429
Eswatini,1384
Somalia,1345
Madagascar,1335
Democratic Republic of Congo,1316
Suriname,1303
Guyana,1199
Luxembourg,979
Mauritania,973
Singapore,913
Haiti,876
Taiwan,852
Fiji,820
Tanzania,796
Cyprus,791
Cote d'Ivoire,791
Mauritius,786
Bahamas,766
Mali,717
Lesotho,696
Qatar,658
French Polynesia,637
Belize,632
Papua New Guinea,610
Laos,598
Malta,593
Guinea,436
Cape Verde,400
Burkina Faso,375
Congo,375
Gambia,365
Saint Lucia,347
Niger,303
Gabon,302
Barbados,302
Liberia,290
Maldives,289
New Caledonia,284
Togo,271
Curacao,260
Hong Kong,224
Nicaragua,222
Grenada,214
Aruba,198
Chad,190
Djibouti,189
Equatorial Guinea,182
Guinea-Bissau,164
Benin,163
Comoros,160
Seychelles,159
Andorra,150
South Sudan,137
Antigua and Barbuda,134
Tajikistan,125
Sierra Leone,125
Timor,124
Bermuda,121
Central African Republic,113
San Marino,110
Saint Vincent and the Grenadines,103
Eritrea,103
Gibraltar,101
Brunei,98
Isle of Man,77
Liechtenstein,75
Sao Tome and Principe,71
Solomon Islands,65
British Virgin Islands,61
Iceland,56
Dominica,54
New Zealand,53
Monaco,50
Saint Kitts and Nevis,40
Burundi,38
Turks and Caicos Islands,35
Bonaire Sint Eustatius and Saba,31
Faeroe Islands,24
Cayman Islands,16
Greenland,9
Anguilla,9
Kiribati,8
Wallis and Futuna,7
Bhutan,5
Palau,4
Montserrat,2
Saint Pierre and Miquelon,1
Vanuatu,1
